impacted_path;impacted_line;impacted_col;impacted_name;direct_change;old_path;old_line;old_col;old_name;new_path;new_line;new_col;new_name
libairspy/src/airspy.c;1058;3;airspy_set_samplerate;True;libusb/core.c;1798;18;libusb_clear_halt;libusb/core.c;1795;18;libusb_clear_halt
libairspy/src/airspy.c;1062;12;airspy_set_samplerate;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1085;12;airspy_set_receiver_mode;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1121;3;airspy_start_rx;True;libusb/core.c;1798;18;libusb_clear_halt;libusb/core.c;1795;18;libusb_clear_halt
libairspy/src/airspy.c;1152;12;airspy_si5351c_read;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1176;12;airspy_si5351c_write;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1199;12;airspy_r820t_read;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1222;12;airspy_r820t_write;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1249;12;airspy_gpio_read;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1276;12;airspy_gpio_write;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1304;12;airspy_gpiodir_read;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1331;12;airspy_gpiodir_write;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;133;5;cancel_transfers;False;;-1;-1;;libusb/io.c;1581;18;libusb_cancel_transfer
libairspy/src/airspy.c;133;5;cancel_transfers;False;;-1;-1;;libusb/io.c;1593;18;libusb_cancel_transfer
libairspy/src/airspy.c;133;5;cancel_transfers;True;libusb/io.c;1580;18;libusb_cancel_transfer;libusb/io.c;1579;18;libusb_cancel_transfer
libairspy/src/airspy.c;1353;12;airspy_spiflash_erase;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1375;12;airspy_spiflash_erase_sector;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
libairspy/src/airspy.c;1403;12;airspy_spiflash_write;False;;-1;-1;;libusb/sync.c;97;18;libusb_control_transfer
