func_name;identity;result;runtime;driver;old_src;new_src
swap_node;None;VOID_RET;;;src/regcomp.c;src/regcomp.c
compile_range_repeat_node;True;TIMEOUT;0:04:00.001069;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/compile_range_repeat_node_id.c;src/regcomp.c;src/regcomp.c
is_anychar_star_quantifier;True;FAILURE;0:00:04.979525;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/is_anychar_star_quantifier_id.c;src/regcomp.c;src/regcomp.c
compile_length_quantifier_node;True;FAILURE;0:00:25.116150;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/compile_length_quantifier_node_id.c;src/regcomp.c;src/regcomp.c
compile_length_enclose_node;True;FAILURE;0:00:46.752420;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/compile_length_enclose_node_id.c;src/regcomp.c;src/regcomp.c
compile_enclose_node;True;TIMEOUT;0:04:00.000568;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/compile_enclose_node_id.c;src/regcomp.c;src/regcomp.c
compile_length_anchor_node;True;FAILURE;0:00:24.932726;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/compile_length_anchor_node_id.c;src/regcomp.c;src/regcomp.c
compile_length_tree;True;FAILURE;0:00:46.169943;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/compile_length_tree_id.c;src/regcomp.c;src/regcomp.c
compile_tree;True;TIMEOUT;0:04:00.000715;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/compile_tree_id.c;src/regcomp.c;src/regcomp.c
noname_disable_map;True;NO_VCCS;0:00:05.480300;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/noname_disable_map_id.c;src/regcomp.c;src/regcomp.c
renumber_by_map;True;FAILURE;0:00:05.028675;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/renumber_by_map_id.c;src/regcomp.c;src/regcomp.c
numbered_ref_check;True;SUCCESS;0:00:04.977759;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/numbered_ref_check_id.c;src/regcomp.c;src/regcomp.c
numbered_ref_check;False;NO_BODY;0:00:04.976015;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/numbered_ref_check.c;src/regcomp.c;src/regcomp.c
unset_addr_list_fix;True;SUCCESS;0:00:05.072912;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/unset_addr_list_fix_id.c;src/regcomp.c;src/regcomp.c
unset_addr_list_fix;False;NO_BODY;0:00:05.078986;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/unset_addr_list_fix.c;src/regcomp.c;src/regcomp.c
get_char_length_tree1;True;FAILURE;0:00:06.130514;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/get_char_length_tree1_id.c;src/regcomp.c;src/regcomp.c
get_head_value_node;True;SUCCESS;0:00:05.277566;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/get_head_value_node_id.c;src/regcomp.c;src/regcomp.c
get_head_value_node;False;NO_BODY;0:00:05.075359;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/get_head_value_node.c;src/regcomp.c;src/regcomp.c
check_type_tree;True;FAILURE;0:00:05.176775;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/check_type_tree_id.c;src/regcomp.c;src/regcomp.c
get_min_len;True;FAILURE;0:01:13.333739;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/get_min_len_id.c;src/regcomp.c;src/regcomp.c
