func_name;identity;result;runtime;driver;old_path;old_line;old_col;old_name;new_path;new_line;new_col;new_name
discard_urbs;True;NO_BODY;0:00:00.364391;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/discard_urbs_id.c;libusb/os/linux_usbfs.c;1852;12;discard_urbs;libusb/os/linux_usbfs.c;1852;12;discard_urbs
discovered_devs_append;True;FAILURE;0:00:01.017138;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/discovered_devs_append_id.c;libusb/core.c;664;25;discovered_devs_append;libusb/core.c;667;25;discovered_devs_append
do_close;None;VOID_RET;;;libusb/core.c;1383;13;do_close;libusb/core.c;1386;13;do_close
get_kernel_version;True;NO_BODY;0:00:00.365091;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/get_kernel_version_id.c;libusb/os/linux_usbfs.c;306;12;get_kernel_version;libusb/os/linux_usbfs.c;306;12;get_kernel_version
handle_bulk_completion;True;NO_BODY;0:00:00.414397;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/handle_bulk_completion_id.c;libusb/os/linux_usbfs.c;2335;12;handle_bulk_completion;libusb/os/linux_usbfs.c;2335;12;handle_bulk_completion
handle_control_completion;True;NO_BODY;0:00:00.364383;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/handle_control_completion_id.c;libusb/os/linux_usbfs.c;2592;12;handle_control_completion;libusb/os/linux_usbfs.c;2592;12;handle_control_completion
handle_event_trigger;True;NO_VCCS;0:00:00.714988;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/handle_event_trigger_id.c;libusb/io.c;2072;12;handle_event_trigger;libusb/io.c;2072;12;handle_event_trigger
handle_events;True;TIMEOUT;0:00:10.000713;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/handle_events_id.c;libusb/io.c;2174;12;handle_events;libusb/io.c;2174;12;handle_events
handle_iso_completion;True;NO_BODY;0:00:00.415194;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/handle_iso_completion_id.c;libusb/os/linux_usbfs.c;2472;12;handle_iso_completion;libusb/os/linux_usbfs.c;2472;12;handle_iso_completion
initialize_handle;True;NO_BODY;0:00:00.364352;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/initialize_handle_id.c;libusb/os/linux_usbfs.c;1322;12;initialize_handle;libusb/os/linux_usbfs.c;1322;12;initialize_handle
libusb_alloc_streams;True;SUCCESS;0:00:00.514535;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_alloc_streams_id.c;libusb/core.c;1851;18;libusb_alloc_streams;libusb/core.c;1855;18;libusb_alloc_streams
libusb_alloc_streams;False;SUCCESS;0:00:00.514992;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_alloc_streams.c;libusb/core.c;1851;18;libusb_alloc_streams;libusb/core.c;1855;18;libusb_alloc_streams
libusb_alloc_transfer;True;FAILURE;0:00:00.514764;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_alloc_transfer_id.c;libusb/io.c;1285;38;libusb_alloc_transfer;libusb/io.c;1285;38;libusb_alloc_transfer
libusb_attach_kernel_driver;True;SUCCESS;0:00:00.515025;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_attach_kernel_driver_id.c;libusb/core.c;2044;18;libusb_attach_kernel_driver;libusb/core.c;2048;18;libusb_attach_kernel_driver
libusb_attach_kernel_driver;False;SUCCESS;0:00:00.514503;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_attach_kernel_driver.c;libusb/core.c;2044;18;libusb_attach_kernel_driver;libusb/core.c;2048;18;libusb_attach_kernel_driver
libusb_cancel_transfer;True;FAILURE;0:00:00.665327;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_cancel_transfer_id.c;libusb/io.c;1580;18;libusb_cancel_transfer;libusb/io.c;1579;18;libusb_cancel_transfer
libusb_claim_interface;True;SUCCESS;0:00:00.514862;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_claim_interface_id.c;libusb/core.c;1658;18;libusb_claim_interface;libusb/core.c;1662;18;libusb_claim_interface
libusb_claim_interface;False;SUCCESS;0:00:00.564830;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_claim_interface.c;libusb/core.c;1658;18;libusb_claim_interface;libusb/core.c;1662;18;libusb_claim_interface
libusb_clear_halt;True;SUCCESS;0:00:00.464662;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_clear_halt_id.c;libusb/core.c;1789;18;libusb_clear_halt;libusb/core.c;1793;18;libusb_clear_halt
libusb_clear_halt;False;SUCCESS;0:00:00.514815;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_clear_halt.c;libusb/core.c;1789;18;libusb_clear_halt;libusb/core.c;1793;18;libusb_clear_halt
libusb_close;None;VOID_RET;;;libusb/core.c;1448;19;libusb_close;libusb/core.c;1451;19;libusb_close
libusb_detach_kernel_driver;True;SUCCESS;0:00:00.514760;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_detach_kernel_driver_id.c;libusb/core.c;2008;18;libusb_detach_kernel_driver;libusb/core.c;2012;18;libusb_detach_kernel_driver
libusb_detach_kernel_driver;False;SUCCESS;0:00:00.514499;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_detach_kernel_driver.c;libusb/core.c;2008;18;libusb_detach_kernel_driver;libusb/core.c;2012;18;libusb_detach_kernel_driver
libusb_event_handler_active;True;SUCCESS;0:00:00.564892;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_event_handler_active_id.c;libusb/io.c;1887;18;libusb_event_handler_active;libusb/io.c;1887;18;libusb_event_handler_active
libusb_event_handler_active;False;FAILURE;0:00:00.564928;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_event_handler_active.c;libusb/io.c;1887;18;libusb_event_handler_active;libusb/io.c;1887;18;libusb_event_handler_active
libusb_event_handling_ok;True;SUCCESS;0:00:00.565264;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_event_handling_ok_id.c;libusb/io.c;1858;18;libusb_event_handling_ok;libusb/io.c;1858;18;libusb_event_handling_ok
libusb_event_handling_ok;False;FAILURE;0:00:00.565651;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_event_handling_ok.c;libusb/io.c;1858;18;libusb_event_handling_ok;libusb/io.c;1858;18;libusb_event_handling_ok
libusb_exit;None;VOID_RET;;;libusb/core.c;2388;19;libusb_exit;libusb/core.c;2395;19;libusb_exit
libusb_free_streams;True;SUCCESS;0:00:00.514798;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_free_streams_id.c;libusb/core.c;1881;18;libusb_free_streams;libusb/core.c;1885;18;libusb_free_streams
libusb_free_streams;False;SUCCESS;0:00:00.514745;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_free_streams.c;libusb/core.c;1881;18;libusb_free_streams;libusb/core.c;1885;18;libusb_free_streams
libusb_free_transfer;None;VOID_RET;;;libusb/io.c;1333;19;libusb_free_transfer;libusb/io.c;1332;19;libusb_free_transfer
libusb_get_bos_descriptor;True;TIMEOUT;0:00:10.000661;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_bos_descriptor_id.c;libusb/descriptor.c;846;18;libusb_get_bos_descriptor;libusb/descriptor.c;846;18;libusb_get_bos_descriptor
libusb_get_config_descriptor;True;SUCCESS;0:00:00.514805;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_config_descriptor_id.c;libusb/descriptor.c;596;18;libusb_get_config_descriptor;libusb/descriptor.c;596;18;libusb_get_config_descriptor
libusb_get_config_descriptor;False;SUCCESS;0:00:00.514362;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_config_descriptor.c;libusb/descriptor.c;596;18;libusb_get_config_descriptor;libusb/descriptor.c;596;18;libusb_get_config_descriptor
libusb_get_config_descriptor_by_value;True;SUCCESS;0:00:00.514762;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_config_descriptor_by_value_id.c;libusb/descriptor.c;642;18;libusb_get_config_descriptor_by_value;libusb/descriptor.c;642;18;libusb_get_config_descriptor_by_value
libusb_get_config_descriptor_by_value;False;SUCCESS;0:00:00.514784;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_config_descriptor_by_value.c;libusb/descriptor.c;642;18;libusb_get_config_descriptor_by_value;libusb/descriptor.c;642;18;libusb_get_config_descriptor_by_value
libusb_get_configuration;True;TIMEOUT;0:00:10.000605;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_configuration_id.c;libusb/core.c;1535;18;libusb_get_configuration;libusb/core.c;1538;18;libusb_get_configuration
libusb_get_device_descriptor;True;NO_VCCS;0:00:00.414932;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_device_descriptor_id.c;libusb/descriptor.c;531;18;libusb_get_device_descriptor;libusb/descriptor.c;531;18;libusb_get_device_descriptor
libusb_get_device_list;True;SUCCESS;0:00:00.715639;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_device_list_id.c;libusb/core.c;812;22;libusb_get_device_list;libusb/core.c;815;22;libusb_get_device_list
libusb_get_device_list;False;SUCCESS;0:00:00.765006;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_device_list.c;libusb/core.c;812;22;libusb_get_device_list;libusb/core.c;815;22;libusb_get_device_list
libusb_get_next_timeout;True;FAILURE;0:00:01.116191;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_get_next_timeout_id.c;libusb/io.c;2539;18;libusb_get_next_timeout;libusb/io.c;2539;18;libusb_get_next_timeout
libusb_handle_events_timeout_completed;True;TIMEOUT;0:00:10.000478;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_handle_events_timeout_completed_id.c;libusb/io.c;2315;18;libusb_handle_events_timeout_completed;libusb/io.c;2315;18;libusb_handle_events_timeout_completed
libusb_hotplug_deregister_callback;None;VOID_RET;;;libusb/hotplug.c;404;19;libusb_hotplug_deregister_callback;libusb/hotplug.c;404;19;libusb_hotplug_deregister_callback
libusb_hotplug_get_user_data;True;NO_VCCS;0:00:00.414275;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/libusb_hotplug_get_user_data_id.c;libusb/hotplug.c;442;20;libusb_hotplug_get_user_data;libusb/hotplug.c;442;20;libusb_hotplug_get_user_data
libusb_hotplug_register_callback;None;VOID_ARG;;;libusb/hotplug.c;320;18;libusb_hotplug_register_callback;libusb/hotplug.c;320;18;libusb_hotplug_register_callback
